Symbol,Price~,"Exp Date",Strike,Moneyness,Bid,"BE (Bid)",BE%,Volume,"Open Int",IV,Delta,"OTM Prob","Ptnl Rtn","Ann Rtn",Time
DJT,31.32,2024-11-08,30.00,-4.21%,8.1,21.9,43.01%,107,503,321.50%,0.348591,52.40%,37.0%,750.0%,"10:36 ET"
DJT,31.32,2024-11-15,30.00,-4.21%,9,21,49.14%,144,6985,307.33%,0.333062,52.13%,42.9%,625.7%,"10:45 ET"
DJT,31.32,2024-11-01,30.00,-4.21%,3.85,26.15,19.77%,1675,520,208.50%,0.404151,54.73%,14.7%,488.5%,"10:45 ET"
DJT,31.32,2024-12-20,30.00,-4.21%,10.6,19.4,61.44%,166,3374,237.14%,0.305612,51.79%,54.6%,332.4%,"10:42 ET"
DJT,31.32,2024-11-01,27.00,-13.79%,2.22,24.78,26.39%,116,330,194.85%,0.292251,66.96%,9.0%,297.3%,"10:32 ET"
DJT,31.32,2024-11-01,26.00,-16.99%,1.94,24.06,30.17%,192,472,201.00%,0.258225,70.32%,8.1%,267.6%,"10:39 ET"
DJT,31.32,2024-12-20,25.00,-20.18%,7.45,17.55,78.46%,128,839,235.63%,0.242881,59.33%,42.5%,258.2%,"10:37 ET"
DJT,31.32,2024-11-01,25.00,-20.18%,1.55,23.45,33.56%,319,1617,197.89%,0.221295,74.41%,6.6%,219.3%,"10:43 ET"
ENPH,90.96,2024-11-01,90.00,-1.06%,5.4,84.6,7.52%,261,758,94.68%,0.443364,52.57%,6.4%,211.8%,"10:32 ET"
SMCI,47.92,2024-11-01,47.00,-1.92%,2.8,44.2,8.42%,260,1069,96.12%,0.436873,54.62%,6.3%,210.2%,"10:39 ET"
COIN,212.83,2024-11-01,210.00,-1.33%,12.4,197.6,7.71%,100,298,93.68%,0.442686,53.28%,6.3%,208.2%,"10:34 ET"
SMCI,47.92,2024-11-01,46.50,-2.96%,2.55,43.95,9.03%,371,431,95.96%,0.411696,57.16%,5.8%,192.5%,"10:08 ET"
SMCI,47.92,2024-11-01,46.00,-4.01%,2.35,43.65,9.78%,371,712,96.97%,0.38707,59.60%,5.4%,178.6%,"10:42 ET"
MSTR,213.05,2024-11-15,210.00,-1.43%,22.6,187.4,13.69%,109,2022,112.53%,0.416703,51.95%,12.1%,176.1%,"10:43 ET"
COIN,212.83,2024-11-01,205.00,-3.68%,10.05,194.95,9.17%,205,361,93.58%,0.384856,59.12%,5.2%,171.1%,"10:44 ET"
INTC,22.59,2024-11-01,22.00,-2.61%,1.02,20.98,7.67%,251,4018,78.39%,0.422487,57.71%,4.9%,161.3%,"10:44 ET"
SMCI,47.92,2024-11-01,45.00,-6.09%,1.9,43.1,11.18%,151,4130,96.20%,0.337355,64.67%,4.4%,146.3%,"10:38 ET"
MSTR,213.05,2024-11-01,200.00,-6.13%,8.3,191.7,11.14%,569,753,101.63%,0.321859,63.99%,4.3%,143.7%,"10:45 ET"
MSTR,213.05,2024-11-15,200.00,-6.13%,17.6,182.4,16.80%,108,5203,112.49%,0.353285,58.50%,9.6%,140.9%,"10:43 ET"
CELH,32.84,2024-11-15,32.50,-1.04%,2.86,29.64,10.80%,189,4634,85.56%,0.452594,51.85%,9.6%,140.9%,"10:43 ET"
COIN,212.83,2024-11-01,200.00,-6.03%,7.95,192.05,10.82%,141,455,93.69%,0.328306,64.89%,4.1%,137.4%,"10:40 ET"
PLTR,42.93,2024-11-08,42.00,-2.17%,2.64,39.36,9.07%,161,1957,82.32%,0.419273,54.77%,6.7%,136.0%,"10:41 ET"
AMD,156.3,2024-11-01,152.50,-2.43%,5.85,146.65,6.58%,223,721,64.90%,0.427712,58.65%,4.0%,132.4%,"10:44 ET"
META,572.72,2024-11-01,565.00,-1.35%,20.8,544.2,5.24%,174,1025,61.48%,0.434046,55.06%,3.8%,126.8%,"10:43 ET"
CVNA,192.35,2024-11-01,175.00,-9.02%,6.3,168.7,14.02%,413,594,104.46%,0.276742,69.89%,3.7%,123.9%,"10:32 ET"
UPST,52.9,2024-11-01,50.00,-5.48%,1.77,48.23,9.68%,108,4229,91.39%,0.317105,63.88%,3.7%,121.8%,"10:41 ET"
ON,67.3,2024-11-01,64.00,-4.90%,2.26,61.74,9.01%,102,298,74.59%,0.36042,65.11%,3.7%,121.5%,"10:43 ET"
SMCI,47.92,2024-11-01,44.00,-8.18%,1.55,42.45,12.89%,262,1852,97.05%,0.290808,69.38%,3.7%,121.2%,"10:43 ET"
SMCI,47.92,2024-11-15,45.00,-6.09%,3.4,41.6,15.19%,117,10000,96.98%,0.361723,59.78%,8.2%,119.3%,"10:31 ET"
FSLR,196.62,2024-11-15,190.00,-3.37%,14.35,175.65,11.94%,107,5580,88.18%,0.396457,55.90%,8.2%,119.3%,"10:38 ET"
MSTR,213.05,2024-11-01,195.00,-8.47%,6.7,188.3,13.14%,113,398,102.24%,0.273055,69.10%,3.6%,118.1%,"10:40 ET"
TSLA,219.65,2024-11-01,215.00,-2.12%,7.35,207.65,5.78%,852,1674,61.23%,0.413788,57.98%,3.5%,117.5%,"10:43 ET"
META,572.72,2024-11-01,560.00,-2.22%,18.5,541.5,5.77%,104,734,61.38%,0.401351,58.35%,3.4%,113.4%,"10:44 ET"
ZETA,26.81,2024-11-15,25.00,-6.75%,1.75,23.25,15.31%,1478,7999,96.97%,0.341912,60.85%,7.5%,109.9%,"10:44 ET"
AMD,156.3,2024-11-01,150.00,-4.03%,4.75,145.25,7.61%,365,2324,65.45%,0.371669,64.14%,3.3%,108.5%,"10:42 ET"
PLTR,42.93,2024-11-15,42.00,-2.17%,2.78,39.22,9.46%,165,10880,73.43%,0.418152,54.54%,7.1%,103.5%,"10:39 ET"
DJT,31.32,2024-11-01,22.00,-29.76%,0.66,21.34,46.77%,195,311,198.67%,0.127782,84.71%,3.1%,102.6%,"10:37 ET"
U,22.37,2024-11-15,21.00,-6.12%,1.37,19.63,13.96%,105,2286,84.55%,0.363739,61.24%,7.0%,101.9%,"10:35 ET"
TSLA,219.65,2024-11-01,212.50,-3.26%,6.3,206.2,6.52%,248,351,61.46%,0.371715,62.18%,3.1%,101.4%,"10:41 ET"
INTC,22.59,2024-11-01,21.00,-7.04%,0.62,20.38,10.84%,117,4833,79.09%,0.296658,70.25%,3.0%,100.9%,"10:44 ET"
NVDA,141.24,2024-11-01,139.00,-1.59%,3.95,135.05,4.58%,1829,1831,47.48%,0.439706,57.69%,2.9%,97.1%,"10:44 ET"
PLTR,42.93,2024-11-08,40.00,-6.83%,1.8,38.2,12.38%,396,4784,82.95%,0.319502,64.94%,4.7%,95.5%,"10:44 ET"
MSTR,213.05,2024-11-01,190.00,-10.82%,5.25,184.75,15.32%,124,435,103.56%,0.228816,73.79%,2.8%,94.3%,"10:37 ET"
PLTR,42.93,2024-11-01,42.50,-1.00%,1.16,41.34,3.85%,213,756,45.59%,0.444274,55.06%,2.8%,93.1%,"10:44 ET"
SMCI,47.92,2024-11-01,42.50,-11.31%,1.15,41.35,15.89%,314,549,99.89%,0.229527,75.56%,2.8%,92.3%,"10:33 ET"
JD,39.65,2024-11-01,39.00,-1.64%,1.05,37.95,4.48%,164,759,51.00%,0.403443,57.41%,2.8%,91.8%,"10:40 ET"
TSLA,219.65,2024-11-08,215.00,-2.12%,9.3,205.7,6.78%,194,960,58.32%,0.418622,56.56%,4.5%,91.7%,"10:44 ET"
GOOGL,164.31,2024-11-01,162.50,-1.10%,4.35,158.15,3.90%,259,1423,44.10%,0.447282,55.75%,2.8%,91.3%,"10:39 ET"
CMG,59.65,2024-11-01,58.00,-2.77%,1.55,56.45,5.67%,149,449,55.78%,0.378691,61.40%,2.7%,91.1%,"10:44 ET"
CVNA,192.35,2024-11-15,180.00,-6.42%,10.45,169.55,13.45%,123,789,82.00%,0.342028,62.14%,6.2%,90.0%,"10:08 ET"
ETSY,51.92,2024-11-15,50.00,-3.70%,2.89,47.11,10.21%,291,4345,70.26%,0.389824,58.12%,6.1%,89.6%,"10:44 ET"
AMZN,188.52,2024-11-01,185.00,-1.87%,4.85,180.15,4.65%,349,4737,48.13%,0.411056,58.92%,2.7%,89.3%,"10:42 ET"
NVDA,141.24,2024-11-01,138.00,-2.29%,3.55,134.45,5.05%,1547,5692,47.85%,0.405802,61.00%,2.6%,87.6%,"10:44 ET"
TSLA,219.65,2024-11-01,210.00,-4.39%,5.3,204.7,7.30%,926,3448,61.36%,0.330346,66.34%,2.6%,85.9%,"10:44 ET"
CELH,32.84,2024-11-15,30.00,-8.65%,1.66,28.34,15.88%,125,11464,85.39%,0.316245,65.72%,5.9%,85.5%,"10:44 ET"
NVDA,141.24,2024-11-08,139.00,-1.59%,5.55,133.45,5.84%,311,890,50.83%,0.442948,55.63%,4.2%,84.3%,"10:44 ET"
SMCI,47.92,2024-11-15,42.00,-12.35%,2.25,39.75,20.55%,614,32255,98.67%,0.267645,69.52%,5.7%,82.6%,"10:41 ET"
SMCI,47.92,2024-11-01,42.00,-12.35%,1,41,16.88%,109,2450,99.33%,0.208319,77.78%,2.4%,80.9%,"10:43 ET"
DJT,31.32,2024-11-01,21.00,-32.95%,0.49,20.51,52.71%,101,672,200.26%,0.103024,87.49%,2.4%,79.3%,"10:06 ET"
NVDA,141.24,2024-11-01,137.00,-3.00%,3.15,133.85,5.52%,1545,3033,48.34%,0.373039,64.18%,2.4%,78.1%,"10:44 ET"
HOOD,26.4,2024-11-01,24.00,-9.09%,0.55,23.45,12.58%,115,495,83.81%,0.229075,74.38%,2.3%,77.8%,"10:44 ET"
NVDA,141.24,2024-11-08,138.00,-2.29%,5.1,132.9,6.28%,415,3731,51.03%,0.41788,58.11%,3.8%,77.8%,"10:44 ET"
LVS,50.97,2024-11-01,50.00,-1.90%,1.14,48.86,4.32%,250,292,47.38%,0.381386,59.24%,2.3%,77.4%,"10:24 ET"
JD,39.65,2024-11-15,39.00,-1.64%,1.96,37.04,7.05%,202,3436,56.03%,0.42388,54.49%,5.3%,77.3%,"10:30 ET"
PLTR,42.93,2024-11-08,39.00,-9.15%,1.43,37.57,14.27%,132,1519,83.62%,0.273128,69.74%,3.8%,77.2%,"10:39 ET"
TGTX,23.6,2024-11-15,21.00,-11.02%,1.05,19.95,18.30%,190,788,93.39%,0.273055,68.35%,5.3%,76.8%,"09:42 ET"
PLTR,42.93,2024-11-01,42.00,-2.17%,0.95,41.05,4.58%,240,2764,45.33%,0.385349,60.96%,2.3%,76.8%,"10:44 ET"
NVDA,141.24,2024-11-22,138.00,-2.29%,8.65,129.35,9.19%,129,557,60.82%,0.42363,55.13%,6.7%,76.3%,"10:42 ET"
INTC,22.59,2024-11-01,20.50,-9.25%,0.46,20.04,12.72%,174,744,79.68%,0.240275,75.86%,2.3%,76.2%,"10:43 ET"
MSTR,213.05,2024-11-01,185.00,-13.17%,4.15,180.85,17.80%,109,795,106.35%,0.191449,77.77%,2.3%,76.1%,"10:38 ET"
TSLA,219.65,2024-11-15,215.00,-2.12%,10.5,204.5,7.41%,413,10279,55.45%,0.419555,55.86%,5.1%,75.0%,"10:42 ET"
ENPH,90.96,2024-11-15,80.00,-12.05%,3.85,76.15,19.45%,121,1838,92.60%,0.25622,70.19%,5.1%,73.8%,"10:31 ET"
PLTR,42.93,2024-11-15,40.00,-6.83%,1.9,38.1,12.68%,580,7352,73.20%,0.321966,64.39%,5.0%,72.8%,"10:44 ET"
DKNG,37.16,2024-11-15,35.00,-5.81%,1.66,33.34,11.46%,210,5114,68.06%,0.345799,63.16%,5.0%,72.7%,"10:44 ET"
SMCI,47.92,2024-12-20,45.00,-6.09%,4.8,40.2,19.20%,133,14703,83.19%,0.363153,57.39%,11.9%,72.6%,"10:34 ET"
NVDA,141.24,2024-11-08,137.00,-3.00%,4.7,132.3,6.76%,335,1960,51.43%,0.3934,60.52%,3.6%,72.0%,"10:44 ET"
PLTR,42.93,2024-11-29,42.00,-2.17%,3,39,10.08%,153,393,63.37%,0.41566,54.21%,7.7%,72.0%,"10:40 ET"
TSLA,219.65,2024-11-08,210.00,-4.39%,7.15,202.85,8.28%,211,1270,58.68%,0.349681,63.49%,3.5%,71.5%,"10:44 ET"
AMZN,188.52,2024-11-01,182.50,-3.19%,3.8,178.7,5.50%,142,661,48.15%,0.348984,65.11%,2.1%,70.6%,"10:41 ET"
ELF,115.45,2024-11-15,100.00,-13.38%,4.6,95.4,21.02%,271,896,97.78%,0.239775,71.27%,4.8%,70.4%,"10:33 ET"
AMD,156.3,2024-11-01,145.00,-7.23%,3,142,10.07%,201,2742,65.94%,0.266811,74.39%,2.1%,70.1%,"10:45 ET"
NVDA,141.24,2024-11-01,136.00,-3.71%,2.78,133.22,6.02%,1709,2180,48.26%,0.340226,67.41%,2.1%,69.2%,"10:44 ET"
BBIO,25.5,2024-12-20,25.00,-1.96%,2.55,22.45,13.59%,1002,293,69.89%,0.422946,52.79%,11.4%,69.1%,"10:19 ET"
GOOGL,164.31,2024-11-01,160.00,-2.62%,3.25,156.75,4.82%,216,2926,43.65%,0.367536,63.71%,2.1%,68.8%,"10:44 ET"
ENTG,102.8,2024-11-15,100.00,-2.72%,4.5,95.5,7.64%,200,349,53.60%,0.40432,57.80%,4.7%,68.8%,"10:39 ET"
UAL,74.33,2024-11-01,73.00,-1.79%,1.45,71.55,3.89%,193,477,40.43%,0.386052,60.15%,2.0%,67.2%,"10:19 ET"
NEP,25.83,2024-11-15,25.00,-3.21%,1.1,23.9,8.08%,244,1053,52.83%,0.406322,59.34%,4.6%,67.2%,"10:42 ET"
AMD,156.3,2024-11-15,150.00,-4.03%,6.55,143.45,8.96%,435,10813,55.48%,0.384206,61.16%,4.6%,66.7%,"10:44 ET"
NVDA,141.24,2024-11-08,136.00,-3.71%,4.3,131.7,7.24%,100,534,51.43%,0.368879,62.97%,3.3%,66.2%,"10:40 ET"
COIN,212.83,2024-11-01,185.00,-13.08%,3.6,181.4,17.33%,127,251,94.98%,0.180349,80.23%,2.0%,65.9%,"10:44 ET"
NVDA,141.24,2024-11-29,138.00,-2.29%,9.05,128.95,9.53%,172,354,57.91%,0.422372,54.88%,7.0%,65.7%,"10:39 ET"
NVDA,141.24,2024-11-15,138.00,-2.29%,5.9,132.1,6.92%,927,5993,49.24%,0.419855,57.15%,4.5%,65.2%,"10:45 ET"
NVDA,141.24,2024-11-22,135.00,-4.42%,7.3,127.7,10.60%,1189,4062,61.18%,0.376453,59.85%,5.7%,65.2%,"10:44 ET"
META,572.72,2024-11-15,565.00,-1.35%,24.1,540.9,5.88%,101,862,47.12%,0.432596,54.38%,4.5%,65.1%,"10:43 ET"
AVGO,181.25,2024-11-01,175.00,-3.45%,3.35,171.65,5.59%,220,1575,43.10%,0.358305,68.05%,2.0%,64.8%,"10:41 ET"
TSLA,219.65,2024-11-22,215.00,-2.12%,11.55,203.45,7.96%,122,540,53.61%,0.419565,55.36%,5.7%,64.8%,"10:43 ET"
GME,20.93,2024-11-01,20.50,-2.05%,0.39,20.11,4.08%,128,782,37.88%,0.388828,62.39%,1.9%,64.4%,"10:44 ET"
ADI,224.97,2024-11-01,222.50,-1.10%,4.2,218.3,3.06%,298,1505,33.14%,0.438821,57.61%,1.9%,63.8%,"09:35 ET"
SMCI,47.92,2025-01-17,46.00,-4.01%,6.1,39.9,20.10%,102,5746,79.03%,0.381524,54.20%,15.3%,63.4%,"10:44 ET"
SMCI,47.92,2024-11-15,40.00,-16.53%,1.65,38.35,24.95%,271,27660,98.59%,0.209095,75.81%,4.3%,62.8%,"10:40 ET"
PLTR,42.93,2024-11-08,38.00,-11.48%,1.14,36.86,16.47%,167,1404,83.36%,0.228077,74.50%,3.1%,62.7%,"10:44 ET"
